Año,Trimestre,Provincia,Accesos por cada 100 hab
2015,4,Catamarca,7.00
2015,4,Chaco,8.00
2015,4,Chubut,11.00
2015,4,Córdoba,17.00
2015,4,Corrientes,8.00
2015,4,Entre Ríos,13.00
2015,4,Formosa,5.00
2015,4,Jujuy,5.00
2015,4,La Pampa,19.00
2015,4,La Rioja,5.00
2015,4,Mendoza,9.00
2015,4,Misiones,8.00
2015,4,Neuquén,17.00
2015,4,Río Negro,14.00
2015,4,Salta,8.00
2015,4,San Juan,7.00
2015,4,San Luis,3.00
2015,4,Santa Cruz,8.00
2015,4,Santa Fe,16.00
2015,4,Santiago Del Estero,4.00
2015,4,Tierra Del Fuego,19.00
2015,4,Tucumán,9.00
2015,3,Buenos Aires,18.00
2015,3,Capital Federal,45.00
2015,3,Catamarca,7.00
2015,3,Chaco,7.00
2015,3,Chubut,11.00
2015,3,Córdoba,17.00
2015,3,Corrientes,8.00
2015,3,Entre Ríos,13.00
2015,3,Formosa,5.00
2015,3,Jujuy,5.00
2015,3,La Pampa,19.00
2015,3,La Rioja,5.00
2015,3,Mendoza,9.00
2015,3,Misiones,8.00
2015,3,Neuquén,16.00
2015,3,Río Negro,14.00
2015,3,Salta,8.00
2015,3,San Juan,7.00
2015,3,San Luis,3.00
2015,3,Santa Cruz,8.00
2015,3,Santa Fe,16.00
2015,3,Santiago Del Estero,4.00
2015,3,Tierra Del Fuego,22.00
2015,3,Tucumán,9.00
2015,2,Buenos Aires,17.00
2015,2,Capital Federal,44.00
2015,2,Catamarca,6.00
2015,2,Chaco,7.00
2015,2,Chubut,11.00
2015,2,Córdoba,17.00
2015,2,Corrientes,8.00
2015,2,Entre Ríos,13.00
2015,2,Formosa,5.00
2015,2,Jujuy,5.00
2015,2,La Pampa,19.00
2015,2,La Rioja,4.00
2015,2,Mendoza,9.00
2015,2,Misiones,7.00
2015,2,Neuquén,16.00
2015,2,Río Negro,14.00
2015,2,Salta,7.00
2015,2,San Juan,7.00
2015,2,San Luis,3.00
2015,2,Santa Cruz,8.00
2015,2,Santa Fe,16.00
2015,2,Santiago Del Estero,4.00
2015,2,Tierra Del Fuego,22.00
2015,2,Tucumán,9.00
2015,1,Buenos Aires,17.00
2015,1,Capital Federal,44.00
2015,1,Catamarca,6.00
2015,1,Chaco,7.00
2015,1,Chubut,12.00
2015,1,Córdoba,17.00
2015,1,Corrientes,8.00
2015,1,Entre Ríos,13.00
2015,1,Formosa,5.00
2015,1,Jujuy,5.00
2015,1,La Pampa,18.00
2015,1,La Rioja,4.00
2015,1,Mendoza,9.00
2015,1,Misiones,7.00
2015,1,Neuquén,16.00
2015,1,Río Negro,14.00
2015,1,Salta,7.00
2015,1,San Juan,7.00
2015,1,San Luis,3.00
2015,1,Santa Cruz,8.00
2015,1,Santa Fe,16.00
2015,1,Santiago Del Estero,4.00
2015,1,Tierra Del Fuego,22.00
2015,1,Tucumán,9.00
2014,4,Buenos Aires,17.00
2014,4,Capital Federal,44.00
2014,4,Catamarca,6.00
2014,4,Chaco,6.00
2014,4,Chubut,12.00
2014,4,Córdoba,17.00
2014,4,Corrientes,6.00
2014,4,Entre Ríos,11.00
2014,4,Formosa,5.00
2014,4,Jujuy,5.00
2014,4,La Pampa,17.00
2014,4,La Rioja,4.00
2014,4,Mendoza,9.00
2014,4,Misiones,7.00
2014,4,Neuquén,16.00
2014,4,Río Negro,14.00
2014,4,Salta,7.00
2014,4,San Juan,7.00
2014,4,San Luis,3.00
2014,4,Santa Cruz,8.00
2014,4,Santa Fe,16.00
2014,4,Santiago Del Estero,4.00
2014,4,Tierra Del Fuego,19.00
2014,4,Tucumán,9.00
2014,3,Buenos Aires,17.00
2014,3,Capital Federal,43.00
2014,3,Catamarca,6.00
2014,3,Chaco,6.00
2014,3,Chubut,12.00
2014,3,Córdoba,17.00
2014,3,Corrientes,6.00
2014,3,Entre Ríos,10.00
2014,3,Formosa,5.00
2014,3,Jujuy,5.00
2014,3,La Pampa,18.00
2014,3,La Rioja,4.00
2014,3,Mendoza,9.00
2014,3,Misiones,6.00
2014,3,Neuquén,17.00
2014,3,Río Negro,14.00
2014,3,Salta,7.00
2014,3,San Juan,7.00
2014,3,San Luis,3.00
2014,3,Santa Cruz,8.00
2014,3,Santa Fe,15.00
2014,3,Santiago Del Estero,4.00
2014,3,Tierra Del Fuego,19.00
2014,3,Tucumán,8.00
2014,2,Buenos Aires,17.00
2014,2,Capital Federal,43.00
2014,2,Catamarca,6.00
2014,2,Chaco,6.00
2014,2,Chubut,13.00
2014,2,Córdoba,16.00
2014,2,Corrientes,6.00
2014,2,Entre Ríos,10.00
2014,2,Formosa,4.00
2014,2,Jujuy,5.00
2014,2,La Pampa,16.00
2014,2,La Rioja,4.00
2014,2,Mendoza,9.00
2014,2,Misiones,6.00
2014,2,Neuquén,15.00
2014,2,Río Negro,14.00
2014,2,Salta,7.00
2014,2,San Juan,7.00
2014,2,San Luis,3.00
2014,2,Santa Cruz,9.00
2014,2,Santa Fe,15.00
2014,2,Santiago Del Estero,4.00
2014,2,Tierra Del Fuego,19.00
2014,2,Tucumán,8.00
2014,1,Buenos Aires,17.00
2014,1,Capital Federal,43.00
2014,1,Catamarca,6.00
2014,1,Chaco,6.00
2014,1,Chubut,13.00
2014,1,Córdoba,16.00
2014,1,Corrientes,6.00
2014,1,Entre Ríos,10.00
2014,1,Formosa,4.00
2014,1,Jujuy,5.00
2014,1,La Pampa,16.00
2014,1,La Rioja,4.00
2014,1,Mendoza,9.00
2014,1,Misiones,6.00
2014,1,Neuquén,15.00
2014,1,Río Negro,14.00
2014,1,Salta,7.00
2014,1,San Juan,7.00
2014,1,San Luis,3.00
2014,1,Santa Cruz,9.00
2014,1,Santa Fe,15.00
2014,1,Santiago Del Estero,4.00
2014,1,Tierra Del Fuego,19.00
2014,1,Tucumán,8.00
